section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
posters_talks,FALSE,Discharge of post-NICU and other CMC within a year of enrollment in a Complex Care Program,Virtual conference,Pediatric Academic Societies,2021,2021,"Johaningsmeir S, Sirovina E, Bartelt TC, Bartlett D, Pelock A. ",Poster presentation,
posters_talks,FALSE,Potential hospital savings from a Complex Care Program’s influence on decreasing patient length of stay (LOS),"Baltimore, MD",Pediatric Academic Societies,2019,2019,"Laper P, Corden TE, Johaningsmeir S",Poster presentation,
posters_talks,FALSE,Complex Care Program Patients Receiving the Most Staff Care Time,"San Francisco, CA",Pediatric Academic Societies,2018,2018,"Johaningsmeir SA, Lee KJ, Pordes ES, Bartelt T, Corden TE",Poster presentation,
posters_talks,FALSE,Longitudinal Changes in Time Required for Care Coordination and Medical Co-Management of Children with Medical Complexity in a Complex Care Program,"Toronto, ON",Pediatric Academic Societies,2017,2017,"Johaningsmeir S. Bartelt T, Zabel G, Brophey M, Ehlenbach M, Gordon JB",Poster presentation,
posters_talks,FALSE,Family-Reported Outcomes at Enrollment in Complex Care Program,"Toronto, ON",Pediatric Academic Societies,2017,2017,"Johaningsmeir S, Bartelt T, Sinha P, Brophey M, Lee KJ, Gordon JB. ",Poster presentation,
posters_talks,FALSE,Complex Care Program Time for Very High and Moderately High Resource Utilizing Children with Medical Complexity,"Baltimore, MD",Pediatric Academic Societies,2016,2016,"Johaningsmeir S, Bartelt T, Reese W, Pordes E, Gordon JB",Poster presentation,
posters_talks,FALSE,Children with Medical Complexity Showing Greatest Cost Reduction after Enrollment in Tertiary Center Complex Care Program,"San Diego, CA",Pediatric Academic Societies,2015,2015,"Johaningsmeir S, Bartelt T, Colby H, Gordon JB",Poster presentation,
posters_talks,FALSE,Post-Discharge Callback Pilot for Children with Medical Complexity (CMC),"Vancouver, BC",Pediatric Academic Societies,2014,2014,"Johaningsmeir S, Grevenow J, Jablonski D, McCord M, Gordon JB",Poster presentation,
posters_talks,FALSE,Implications of Different Classification Strategies for Children with Medical Complexity (CMC),"Vancouver, BC",Pediatric Academic Societies,2014,2014,"Hannan K, Johaningsmeir S, Zhao S, Okun AL, Gordon JB, McCord M. ",Poster presentation,
posters_talks,FALSE,Bridge to Independence: A model for family curriculum development,"Milwaukee, WI",American Academy for Cerebral Palsy and Developmental Medicine ,2013,2013,"Conceição SCO, Colby H, Johaningsmeir S. ",Pre-conference workshop,
posters_talks,FALSE,Readmissions Rates of Children with Medical Complexity (CMC) in a Tertiary Center Complex Care Program,"Washington, DC",Pediatric Academic Societies,2013,2013,"Johaningsmeir S, Grevenow J, Jablonski D, McCord M, Gordon JB",Poster presentation,
posters_talks,FALSE,Adding Non-Administrative Data to Characterize Children with Medical Complexity and Their Care Coordination Needs,"Washington, DC",Pediatric Academic Societies,2013,2013,"Johaningsmeir S, Colby H, Gordon JB",Poster presentation,
invited_articles,FALSE,Partnering with Parents of Children with Medical Complexity: A Framework for Engaging Families for Practice Improvement,NA,Pediatric Annals,2020,2020,"Schnell JL, Johaningsmeir S, Bartelt T, Bergman DA.",https://doi.org/10.3928/19382359-20201012-01,
invited_articles,FALSE,Curriculum design in health education,NA,New Directions for Adult and Continuing Education,2011,2011,"Conceição SCO, Colby H, Juhlmann A, Johaningsmeir S",https://doi.org/10.1002/ace.407,
